ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
0,T_20,892,153,-256,-2,37248,-1946170.723,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_21,1254,206,108,1,37248,-1946170.723,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_22,1018,251,-124,-8,37248,-1946170.723,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_23,1105,314,-35,5,37248,-1946170.723,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_24,1190,417,50,2,37248,-1946170.723,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_25,1108,483,-40,16,37248,-1946170.723,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_26,1277,535,125,14,37248,-1946170.723,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_27,1369,582,221,7,37248,-1946170.723,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_28,1265,619,121,-4,37248,-1946170.723,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_29,1112,686,-34,13,37248,-1946170.723,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_30,1154,794,10,9,37248,-1946170.723,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_31,957,838,-189,3,37248,-1946170.723,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_32,1297,876,155,-5,37248,-1946170.723,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_33,1016,930,-134,1,37248,-1946170.723,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_34,1281,993,135,10,37248,-1946170.723,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_35,1060,1031,-82,-8,37248,-1946170.723,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:10,253,0,0,None
0,T_0,307,58,-5,13,37249,-1946031.85,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:10,391,0,0,None
0,T_1,431,106,115,7,37249,-1946031.85,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:10,391,0,0,None
0,T_2,370,149,54,4,37249,-1946031.85,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:10,391,0,0,None
0,T_3,323,197,7,-4,37249,-1946031.85,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:10,391,0,0,None
0,T_4,337,257,21,0,37249,-1946031.85,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:10,391,0,0,None
0,T_5,559,315,255,6,37249,-1946031.85,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:10,391,0,0,None
0,T_6,515,418,205,1,37249,-1946031.85,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:10,391,0,0,None
0,T_7,348,476,40,7,37249,-1946031.85,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:10,391,0,0,None
0,T_8,294,524,-18,3,37249,-1946031.85,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:10,391,0,0,None
0,T_9,128,557,-182,-14,37249,-1946031.85,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_10,328,621,14,0,37249,-1946031.85,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_11,233,675,-83,0,37249,-1946031.85,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_12,280,778,-34,-3,37249,-1946031.85,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_13,170,840,-146,11,37249,-1946031.85,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_14,442,870,124,-11,37249,-1946031.85,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_15,52,930,-258,-3,37249,-1946031.85,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_16,371,982,59,1,37249,-1946031.85,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_17,521,1043,207,14,37249,-1946031.85,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_18,957,49,-187,2,37249,-1946031.85,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_19,1099,116,-47,15,37249,-1946031.85,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_20,892,153,-256,-2,37249,-1946031.85,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_21,1254,206,108,1,37249,-1946031.85,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_22,1018,251,-124,-8,37249,-1946031.85,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_23,1105,314,-35,5,37249,-1946031.85,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_24,1190,417,50,2,37249,-1946031.85,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_25,1108,483,-40,16,37249,-1946031.85,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_26,1277,535,125,14,37249,-1946031.85,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_27,1369,582,221,7,37249,-1946031.85,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_28,1265,619,121,-4,37249,-1946031.85,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_29,1112,686,-34,13,37249,-1946031.85,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_30,1154,794,10,9,37249,-1946031.85,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_31,957,838,-189,3,37249,-1946031.85,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_32,1297,876,155,-5,37249,-1946031.85,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_33,1016,930,-134,1,37249,-1946031.85,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_34,1281,993,135,10,37249,-1946031.85,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_35,1060,1031,-82,-8,37249,-1946031.85,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:10,392,0,0,None
0,T_0,307,58,-5,13,37250,-1945890.685,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:10,532,0,0,None
0,T_1,431,106,115,7,37250,-1945890.685,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:10,532,0,0,None
0,T_2,370,149,54,4,37250,-1945890.685,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:10,532,0,0,None
0,T_3,323,197,7,-4,37250,-1945890.685,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:10,532,0,0,None
0,T_4,337,257,21,0,37250,-1945890.685,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:10,532,0,0,None
0,T_5,559,315,255,6,37250,-1945890.685,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_6,515,418,205,1,37250,-1945890.685,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_7,348,476,40,7,37250,-1945890.685,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_8,294,524,-18,3,37250,-1945890.685,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_9,128,557,-182,-14,37250,-1945890.685,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_10,328,621,14,0,37250,-1945890.685,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_11,233,675,-83,0,37250,-1945890.685,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_12,280,778,-34,-3,37250,-1945890.685,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_13,170,840,-146,11,37250,-1945890.685,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_14,442,870,124,-11,37250,-1945890.685,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_15,52,930,-258,-3,37250,-1945890.685,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_16,371,982,59,1,37250,-1945890.685,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_17,521,1043,207,14,37250,-1945890.685,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_18,957,49,-187,2,37250,-1945890.685,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_19,1099,116,-47,15,37250,-1945890.685,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_20,892,153,-256,-2,37250,-1945890.685,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_21,1254,206,108,1,37250,-1945890.685,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_22,1018,251,-124,-8,37250,-1945890.685,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_23,1105,314,-35,5,37250,-1945890.685,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_24,1190,417,50,2,37250,-1945890.685,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_25,1108,483,-40,16,37250,-1945890.685,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_26,1277,535,125,14,37250,-1945890.685,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_27,1369,582,221,7,37250,-1945890.685,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_28,1265,619,121,-4,37250,-1945890.685,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_29,1112,686,-34,13,37250,-1945890.685,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_30,1154,794,10,9,37250,-1945890.685,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_31,957,838,-189,3,37250,-1945890.685,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_32,1297,876,155,-5,37250,-1945890.685,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_33,1016,930,-134,1,37250,-1945890.685,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_34,1281,993,135,10,37250,-1945890.685,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_35,1060,1031,-82,-8,37250,-1945890.685,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:10,533,0,0,None
0,T_0,307,58,-5,13,37251,-1945748.415,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_1,431,106,115,7,37251,-1945748.415,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_2,370,149,54,4,37251,-1945748.415,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_3,323,197,7,-4,37251,-1945748.415,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_4,337,257,21,0,37251,-1945748.415,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_5,559,315,255,6,37251,-1945748.415,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_6,515,418,205,1,37251,-1945748.415,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_7,348,476,40,7,37251,-1945748.415,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_8,294,524,-18,3,37251,-1945748.415,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_9,128,557,-182,-14,37251,-1945748.415,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_10,328,621,14,0,37251,-1945748.415,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_11,233,675,-83,0,37251,-1945748.415,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_12,280,778,-34,-3,37251,-1945748.415,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_13,170,840,-146,11,37251,-1945748.415,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_14,442,870,124,-11,37251,-1945748.415,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_15,52,930,-258,-3,37251,-1945748.415,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_16,371,982,59,1,37251,-1945748.415,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_17,521,1043,207,14,37251,-1945748.415,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_18,957,49,-187,2,37251,-1945748.415,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_19,1099,116,-47,15,37251,-1945748.415,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_20,892,153,-256,-2,37251,-1945748.415,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_21,1254,206,108,1,37251,-1945748.415,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_22,1018,251,-124,-8,37251,-1945748.415,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_23,1105,314,-35,5,37251,-1945748.415,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_24,1190,417,50,2,37251,-1945748.415,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_25,1108,483,-40,16,37251,-1945748.415,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_26,1277,535,125,14,37251,-1945748.415,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_27,1369,582,221,7,37251,-1945748.415,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_28,1265,619,121,-4,37251,-1945748.415,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_29,1112,686,-34,13,37251,-1945748.415,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:10,674,0,0,None
0,T_30,1154,794,10,9,37251,-1945748.415,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:10,675,0,0,None
0,T_31,957,838,-189,3,37251,-1945748.415,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:10,675,0,0,None
0,T_32,1297,876,155,-5,37251,-1945748.415,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:10,675,0,0,None
0,T_33,1016,930,-134,1,37251,-1945748.415,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:10,675,0,0,None
0,T_34,1281,993,135,10,37251,-1945748.415,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:10,675,0,0,None
0,T_35,1060,1031,-82,-8,37251,-1945748.415,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:10,675,0,0,None
0,T_0,307,58,-5,13,37252,-1945609.82,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_1,431,106,115,7,37252,-1945609.82,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_2,370,149,54,4,37252,-1945609.82,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_3,323,197,7,-4,37252,-1945609.82,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_4,337,257,21,0,37252,-1945609.82,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_5,559,315,255,6,37252,-1945609.82,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_6,515,418,205,1,37252,-1945609.82,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_7,348,476,40,7,37252,-1945609.82,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_8,294,524,-18,3,37252,-1945609.82,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_9,128,557,-182,-14,37252,-1945609.82,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_10,328,621,14,0,37252,-1945609.82,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_11,233,675,-83,0,37252,-1945609.82,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_12,280,778,-34,-3,37252,-1945609.82,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_13,170,840,-146,11,37252,-1945609.82,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_14,442,870,124,-11,37252,-1945609.82,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_15,52,930,-258,-3,37252,-1945609.82,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_16,371,982,59,1,37252,-1945609.82,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_17,521,1043,207,14,37252,-1945609.82,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_18,957,49,-187,2,37252,-1945609.82,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_19,1099,116,-47,15,37252,-1945609.82,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_20,892,153,-256,-2,37252,-1945609.82,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_21,1254,206,108,1,37252,-1945609.82,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_22,1018,251,-124,-8,37252,-1945609.82,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_23,1105,314,-35,5,37252,-1945609.82,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_24,1190,417,50,2,37252,-1945609.82,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_25,1108,483,-40,16,37252,-1945609.82,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_26,1277,535,125,14,37252,-1945609.82,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_27,1369,582,221,7,37252,-1945609.82,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_28,1265,619,121,-4,37252,-1945609.82,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_29,1112,686,-34,13,37252,-1945609.82,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_30,1154,794,10,9,37252,-1945609.82,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_31,957,838,-189,3,37252,-1945609.82,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_32,1297,876,155,-5,37252,-1945609.82,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_33,1016,930,-134,1,37252,-1945609.82,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_34,1281,993,135,10,37252,-1945609.82,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_35,1060,1031,-82,-8,37252,-1945609.82,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:10,813,0,0,None
0,T_0,307,58,-5,13,37253,-1945469.57,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:10,953,0,0,None
0,T_1,431,106,115,7,37253,-1945469.57,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_2,370,149,54,4,37253,-1945469.57,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_3,323,197,7,-4,37253,-1945469.57,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_4,337,257,21,0,37253,-1945469.57,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_5,559,315,255,6,37253,-1945469.57,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_6,515,418,205,1,37253,-1945469.57,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_7,348,476,40,7,37253,-1945469.57,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_8,294,524,-18,3,37253,-1945469.57,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_9,128,557,-182,-14,37253,-1945469.57,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_10,328,621,14,0,37253,-1945469.57,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_11,233,675,-83,0,37253,-1945469.57,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_12,280,778,-34,-3,37253,-1945469.57,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_13,170,840,-146,11,37253,-1945469.57,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_14,442,870,124,-11,37253,-1945469.57,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_15,52,930,-258,-3,37253,-1945469.57,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_16,371,982,59,1,37253,-1945469.57,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_17,521,1043,207,14,37253,-1945469.57,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_18,957,49,-187,2,37253,-1945469.57,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_19,1099,116,-47,15,37253,-1945469.57,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_20,892,153,-256,-2,37253,-1945469.57,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_21,1254,206,108,1,37253,-1945469.57,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_22,1018,251,-124,-8,37253,-1945469.57,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_23,1105,314,-35,5,37253,-1945469.57,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_24,1190,417,50,2,37253,-1945469.57,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_25,1108,483,-40,16,37253,-1945469.57,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_26,1277,535,125,14,37253,-1945469.57,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_27,1369,582,221,7,37253,-1945469.57,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_28,1265,619,121,-4,37253,-1945469.57,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_29,1112,686,-34,13,37253,-1945469.57,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_30,1154,794,10,9,37253,-1945469.57,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_31,957,838,-189,3,37253,-1945469.57,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_32,1297,876,155,-5,37253,-1945469.57,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_33,1016,930,-134,1,37253,-1945469.57,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_34,1281,993,135,10,37253,-1945469.57,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_35,1060,1031,-82,-8,37253,-1945469.57,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:07:10,954,0,0,None
0,T_0,307,58,-5,13,37254,-1945330.061,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:07:11,92,0,0,None
0,T_1,431,106,115,7,37254,-1945330.061,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:07:11,93,0,0,None
0,T_2,370,149,54,4,37254,-1945330.061,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:07:11,93,0,0,None
